# ================================================================================
# Inverse MPM Material Learning - Experiment Results
# Target: E*=450, nu=0.35, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# Tasks: dual-parameter external noisy, dual-parameter clean, single-E clean
# Methods: NN+FD and derivative-free baseline
# ================================================================================

## SECTION 1: Per-Epoch / Per-Search-Step Data
task,method,row_type,epoch_or_iter,loss,E_pred,nu_pred,E_abs_error,nu_abs_error,dL_dE_est,dL_dnu_est,h_mse,s_mse,F_mse,step_time_s,cumulative_time_s,E_true,nu_true,N_particles,N_steps,learn_param,obs_mode,noise_h,notes
DualParam_External_Noisy,NN+FD,epoch,45,9.415477e-08,451.574799,0.359455,1.574799,0.009455,-5.508625e-10,2.085267e-06,,,,0.805721,80.064214,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,46,9.126882e-08,450.875183,0.357483,0.875183,0.007483,-1.190092e-09,1.944553e-06,,,,0.957014,81.021228,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,47,8.860948e-08,450.531006,0.355505,0.531006,0.005505,-1.386045e-09,1.663050e-06,,,,0.982153,82.003381,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,48,8.629702e-08,450.475952,0.353583,0.475952,0.003583,-1.292435e-09,1.214049e-06,,,,0.846126,82.849508,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,49,8.453731e-08,450.581726,0.351775,0.581726,0.001775,-8.380354e-10,6.943015e-07,,,,0.813801,83.663309,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,50,8.362249e-08,450.71994,0.350127,0.71994,1.268327e-04,-2.725784e-10,2.058113e-07,,,,0.819174,84.482484,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,51,8.367793e-08,450.792999,0.348678,0.792999,0.001322,2.454819e-10,-2.822063e-07,,,,0.824311,85.306795,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,52,8.441613e-08,450.732391,0.347448,0.732391,0.002552,6.830270e-10,-6.453126e-07,,,,0.814987,86.121782,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,53,8.533446e-08,450.525971,0.346451,0.52597,0.003549,8.739107e-10,-9.629897e-07,,,,0.828116,86.949898,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,54,8.627744e-08,450.199677,0.345695,0.199677,0.004305,8.578169e-10,-1.192082e-06,,,,0.851343,87.801241,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,55,8.696899e-08,449.806641,0.345177,0.193359,0.004823,6.617498e-10,-1.337102e-06,,,,0.869552,88.670793,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,56,8.748781e-08,449.41806,0.344887,0.58194,0.005113,3.181917e-10,-1.389172e-06,,,,0.811786,89.482578,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,57,8.785444e-08,449.103424,0.344807,0.896576,0.005193,-6.467715e-11,-1.375220e-06,,,,0.837128,90.319706,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,58,8.800787e-08,448.916534,0.344919,1.083466,0.005081,-3.979110e-10,-1.329972e-06,,,,0.792621,91.112327,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,59,8.796448e-08,448.890595,0.345199,1.109406,0.004801,-6.412826e-10,-1.266136e-06,,,,0.792202,91.90453,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,60,8.764962e-08,449.029633,0.345623,0.970367,0.004377,-7.398029e-10,-1.165493e-06,,,,0.813854,92.718383,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,61,8.705869e-08,449.306915,0.346168,0.693085,0.003832,-6.709442e-10,-1.089834e-06,,,,0.792347,93.510731,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,62,8.633294e-08,449.669922,0.346808,0.330078,0.003192,-4.600480e-10,-1.001146e-06,,,,0.778813,94.289544,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,63,8.559872e-08,450.056885,0.347522,0.056885,0.002478,-1.856257e-10,-9.348163e-07,,,,0.772259,95.061802,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,64,8.496096e-08,450.411591,0.348284,0.411591,0.001716,7.074519e-11,-8.146087e-07,,,,0.772912,95.834714,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,65,8.446725e-08,450.67984,0.349067,0.67984,9.331763e-04,3.245617e-10,-6.771986e-07,,,,0.779896,96.61461,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,66,8.411904e-08,450.832794,0.349846,0.832794,1.539946e-04,4.703651e-10,-5.357703e-07,,,,0.780332,97.394943,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
