# ================================================================================
# Inverse Physics Learning from Camera Projections - Experiment Results
# Target: E*=400, nu=0.4, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# ================================================================================

## SECTION 1: Per-Epoch Training Data
task,method,epoch,loss,E_pred,E_abs_error,dL_dE_est,epoch_time_s,E_true,nu_true,N_particles,N_steps
Baseline_3D,AD,73,2.568942e-06,463.402771,63.402771,2.114575e-11,0.087,400.0,0.400,512,8
Baseline_3D,AD,74,2.568898e-06,464.330841,64.330841,4.411049e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,75,2.568980e-06,465.269379,65.269379,8.185452e-11,0.082,400.0,0.400,512,8
Baseline_3D,AD,76,2.568986e-06,466.218414,66.218414,6.366463e-12,0.082,400.0,0.400,512,8
Baseline_3D,AD,77,2.569001e-06,467.177887,67.177887,1.500666e-11,0.079,400.0,0.400,512,8
Baseline_3D,AD,78,2.569031e-06,468.147766,68.147766,2.978595e-11,0.080,400.0,0.400,512,8
Baseline_3D,AD,79,2.568840e-06,469.128021,69.128021,1.905391e-10,0.079,400.0,0.400,512,8
Baseline_3D,AD,80,2.569002e-06,470.118622,70.118622,1.621174e-10,0.080,400.0,0.400,512,8
Baseline_3D,AD,81,2.569016e-06,471.119568,71.119568,1.364242e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,82,2.568906e-06,472.130768,72.130768,1.095941e-10,0.083,400.0,0.400,512,8
Baseline_3D,AD,83,2.568929e-06,473.152191,73.152191,2.296474e-11,0.080,400.0,0.400,512,8
Baseline_3D,AD,84,2.568959e-06,474.183838,74.183838,2.978595e-11,0.082,400.0,0.400,512,8
Baseline_3D,AD,85,2.568929e-06,475.225616,75.225616,3.024070e-11,0.083,400.0,0.400,512,8
Baseline_3D,AD,86,2.568928e-06,476.277557,76.277557,6.821210e-13,0.079,400.0,0.400,512,8
Baseline_3D,AD,87,2.569017e-06,477.339569,77.339569,8.890311e-11,0.081,400.0,0.400,512,8
Baseline_3D,AD,88,2.568907e-06,478.411591,78.411591,1.105036e-10,0.081,400.0,0.400,512,8
Baseline_3D,AD,89,2.568921e-06,479.493622,79.493622,1.409717e-11,0.085,400.0,0.400,512,8
Baseline_3D,AD,90,2.568898e-06,480.585632,80.585632,2.296474e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,91,2.568921e-06,481.687500,81.687500,2.296474e-11,0.079,400.0,0.400,512,8
Baseline_3D,AD,92,2.568921e-06,482.799255,82.799255,2.273737e-13,0.078,400.0,0.400,512,8
Baseline_3D,AD,93,2.568974e-06,483.920807,83.920807,5.320544e-11,0.079,400.0,0.400,512,8
Baseline_3D,AD,94,2.568979e-06,485.052094,85.052094,4.774847e-12,0.085,400.0,0.400,512,8
Baseline_3D,AD,95,2.568966e-06,486.193085,86.193085,1.341505e-11,0.084,400.0,0.400,512,8
Baseline_3D,AD,96,2.568929e-06,487.343750,87.343750,3.637979e-11,0.083,400.0,0.400,512,8
Baseline_3D,AD,97,2.568892e-06,488.503998,88.503998,3.751666e-11,0.086,400.0,0.400,512,8
Baseline_3D,AD,98,2.568978e-06,489.673767,89.673767,8.640200e-11,0.081,400.0,0.400,512,8
Baseline_3D,AD,99,2.568870e-06,490.853027,90.853027,1.082299e-10,0.083,400.0,0.400,512,8

## SECTION 2: Convergence Milestones (epochs to reach |E-E*| threshold)
task,method,threshold,epoch_reached,E_pred_at_threshold,loss_at_threshold
Baseline_3D,FD,20,26,419.765015,6.929204e-05
Baseline_3D,FD,15,41,414.595215,3.967937e-05
Baseline_3D,FD,10,52,409.663757,1.851324e-05
Baseline_3D,FD,5,62,404.867432,5.189254e-06
Baseline_3D,FD,2,69,401.896271,9.679926e-07
Baseline_3D,FD,1,72,400.855164,2.600001e-07
Baseline_3D,FD,0.5,74,400.263489,6.316349e-08
Baseline_3D,FD,0.1,75,400.001526,2.103691e-08
Camera_2D,FD,20,23,419.825256,1.762354e-06
Camera_2D,FD,15,36,414.785706,1.036234e-06
Camera_2D,FD,10,46,409.634216,4.686321e-07
Camera_2D,FD,5,55,404.579803,1.231397e-07
Camera_2D,FD,2,61,401.556824,2.005300e-08
Camera_2D,FD,1,63,400.710327,6.204449e-09
Camera_2D,FD,0.5,64,400.326935,2.855285e-09
Camera_2D,FD,0.1,65,399.972809,7.449829e-10
Baseline_3D,AD,20,NOT_REACHED,,
Baseline_3D,AD,15,NOT_REACHED,,
Baseline_3D,AD,10,NOT_REACHED,,
Baseline_3D,AD,5,NOT_REACHED,,
Baseline_3D,AD,2,NOT_REACHED,,
Baseline_3D,AD,1,NOT_REACHED,,
Baseline_3D,AD,0.5,NOT_REACHED,,
Baseline_3D,AD,0.1,NOT_REACHED,,

## SECTION 3: Forward Simulation MSE (predicted rollout vs target)
task,method,E_pred_infer,mse_channel_1,mse_val_1,mse_channel_2,mse_val_2,mse_channel_3,mse_val_3
Baseline_3D,FD,400.031067,mse_h,9.2644e-13,mse_S(3x3_cov),2.1680e-14,mse_F_mean,4.1484e-12
Camera_2D,FD,399.982056,mse_proj_mean(2D),7.0355e-13,mse_proj_cov(2x2),3.8544e-15,mse_depth,9.3525e-12
Baseline_3D,AD,N/A,NaN gradients,,,,,

## SECTION 4: Final Summary
task,method,total_epochs,initial_loss,final_loss,loss_reduction_x,initial_E_pred,final_E_pred,initial_abs_err,final_abs_err,best_abs_err,best_epoch,converged_E_err_lt_1,avg_time_per_epoch_s,total_time_s,inference_E_pred,inference_MSE_main_channel
Baseline_3D,FD,200,1.060232e-04,1.865114e-10,568454.2,424.859,400.031067,24.8590,0.031067,0.000397,158,YES,0.418,92.1,400.031067,mse_h=9.2644e-13
Camera_2D,FD,200,2.673982e-06,2.093614e-10,12772.1,424.829,399.982056,24.8295,0.017944,0.000427,123,YES,0.465,108.0,399.982056,mse_proj_mean=7.0355e-13
Baseline_3D,AD,100,2.569003e-06,2.568870e-06,1.0,425.086,490.853027,25.0864,90.853027,25.086365,0,NO,0.082,20.8,,
